,rank
6212,0.40524486182376346
18332,0.4141127804326517
18036,0.4338528308627948
22799,0.43018470513879553
15456,0.40331002507526814
26089,0.442688841418345
1585,0.4203005098031615
40840,0.2994870511139249
1584,0.30218018769110233
10998,0.3015909522252789
16206,0.30351919279049816
23513,0.31876181914372886
18168,0.31517900995051
21060,0.3172288133856996
35850,0.317208784121139
31332,0.3216986059371509
10187,0.22601549798604947
36742,0.2940087832890383
28939,0.25445187340273406
54289,0.2609076190328268
15381,0.2291628184094568
27375,0.23863033026143698
28689,0.40608288831072165
17720,0.30985148369199195
30597,0.35103396664516834
12400,0.3601273035671129
26988,0.3586326495867676
69476,0.36267033035007085
38458,0.4017154934212251
5990,0.40193318570294795
56000,0.3764757297086953
97091,0.2912146789932218
86833,0.3542020271730771
62252,0.40357520681557485
116327,0.3542547391816127
116331,0.27029750709163913
62299,0.3281698115016757
1370,0.30199876363678313
129182,0.3040366480068283
489,0.3128331660825987
505,0.39473167623322164
72160,0.3829328799650218
70750,0.40241963434176914
113703,0.36454377478862343
128239,0.349291027977989
72501,0.35297190614041407
8550,0.2797422420164372
129953,0.2750893815027059
159247,0.19558674363677647
6523,0.1969160434044328
18938,0.2716162175966302
129955,0.2751244273103322
8372,0.2940452303930652
30013,0.2940452303930652
30459,0.29834277212619403
33369,0.30445038440806915
54015,0.35110742613731394
33620,0.39929158952358035
13857,0.3538769858439352
37836,0.3552725946202362
4258,0.33594561091599334
46339,0.33220515586658517
12148,0.3508384101991776
91159,0.2736801014379316
32767,0.10317974730595239
8159,0.09990074037917535
67274,0.094961425474472
188876,0.20915127573414913
32004,0.3694453048927557
18305,0.36539995359980765
54468,0.36879498767456514
54469,0.3689899663338368
38647,0.37002354798057036
16871,0.36802217378320473
38020,0.31642924168535985
67304,0.299684461883799
62620,0.2962820823356076
180969,0.26678605342820877
188946,0.249832207050544
188947,0.3120096523771319
3645,0.24668173996342846
8044,0.2674106763555638
33099,0.2555936544925804
27691,0.26536384222248266
23150,0.23946383217320374
4114,0.2849832252568895
98626,0.3082575753713138
17510,0.2817096346948172
29122,0.3103986978264295
13449,0.27478880652419907
98627,0.279059524707576
8153,0.12029529576458696
43686,0.11625999233779377
14326,0.12476324065767276
97371,0.12523438341476695
3386,0.14944516871220853
33459,0.18816417120230974
112125,0.26291700088026604
44019,0.27360194868698134
131082,0.2730918559654367
117993,0.2118206331016102
109848,0.27169649980778615
112122,0.2356298759382284
81696,0.37059969037192764
19027,0.35134760472150744
19646,0.3532191845264289
63339,0.3473331862313619
16081,0.3477615383808312
23228,0.20049404128270226
112957,0.20999772286206697
32511,0.21577378363406896
17409,0.22728135074048564
48784,0.2012516531289878
21775,0.17895440825258943
131910,0.34650761988883866
131911,0.3482532008617984
147450,0.31984421342498526
131909,0.34066643287923754
171798,0.3438372870204653
149723,0.3518086981486921
104484,0.21015122657927868
46873,0.22189867831713533
93430,0.2634175009108926
97261,0.23856434102020294
79295,0.21600315194633543
145556,0.23811036092184054
54696,0.37113688954223517
75042,0.32713638354896263
24685,0.3212716445776554
3058,0.30176693899933077
19407,0.26637062863389066
161466,0.2532160060827034
188593,0.2504541057935331
188892,0.26563189485587974
188893,0.2690400632640759
188894,0.3200818729687992
188895,0.3200818729687992
3239,0.24887377235894956
73618,0.2463515381047089
9595,0.21416748321112736
53464,0.24880105887908519
3914,0.24987675013410354
23444,0.2488134569063042
2322,0.37253764835345865
4875,0.3862269308510484
40391,0.391092640428506
53126,0.38846925488917144
56748,0.3613999810119043
37685,0.2549791494391718
36281,0.2641540541001349
19949,0.2704294113395909
67061,0.27166203128297955
76303,0.27037623566025776
115802,0.2725302581021645
116824,0.26903068506447264
30152,0.4775981260194412
80594,0.29318720839303336
143076,0.3186787250617687
1468,0.295913368276248
13398,0.24275646023920494
35009,0.3240001388201613
111065,0.2437580826749474
132891,0.31901892628592016
115748,0.2521144963135705
37277,0.24045415245893717
132716,0.24571368126939028
4878,0.380406084652266
68676,0.268888967952221
14518,0.30594988886133767
140179,0.29644211281522104
161269,0.28414379364821857
11993,0.13512853789305804
17024,0.32045994409523876
30180,0.31845200677030083
115772,0.315273962669261
104732,0.3239378267300067
17230,0.3170292763400368
20397,0.3148558072364211
124981,0.24870622951884383
125147,0.24870622951884383
151243,0.2507879463554587
125144,0.24257402170604964
125618,0.25008850589750203
188880,0.3047274945579141
33032,0.4143428108290973
110920,0.3910587162717185
