,rank
6212,0.5161159984794439
18332,0.5288724059348527
18036,0.5440445320769546
22799,0.5361694877982663
15456,0.5089385796420746
26089,0.5514660534410526
1585,0.5231844114757334
40840,0.3905483144892664
1584,0.3916468794292198
10998,0.3915835742172233
16206,0.3948045537710848
23513,0.4093317873143195
18168,0.40730944744951775
21060,0.4098396385369136
35850,0.408412782059047
31332,0.41403864743823715
10187,0.3141122067099851
36742,0.37565940510069823
28939,0.3382923598871527
54289,0.344611712458224
15381,0.31218688805609524
27375,0.3185132419399586
28689,0.5111144824072047
17720,0.40055651243456547
30597,0.4506576570699804
12400,0.45651577578526
26988,0.4574597405297612
69476,0.45911302266176207
38458,0.5003733211650095
5990,0.5016453230165888
56000,0.4787859235230466
97091,0.38206382400520283
86833,0.4465905244599743
62252,0.5068329488564646
116327,0.4569068801360465
116331,0.3527376980146987
62299,0.4260731274680768
1370,0.3850893617947399
129182,0.388060503819606
489,0.3978994274276361
505,0.49873524485640175
72160,0.4840586511266429
70750,0.5074741148535676
113703,0.4609275557351324
128239,0.4412670993687428
72501,0.4578927694751328
8550,0.3776207333462225
129953,0.36928085458872584
159247,0.27308440413857027
6523,0.2754174608762705
18938,0.36381506923801377
129955,0.3696269745529432
8372,0.3958216337504564
30013,0.3958216337504564
30459,0.40185500685285663
33369,0.41273949123774706
54015,0.46464141050950997
33620,0.5027003352819295
13857,0.44539528196235667
37836,0.4480457656127188
4258,0.43009325432482537
46339,0.41768506150709944
12148,0.4451912055551127
91159,0.3611735506056817
32767,0.17542069640392327
8159,0.17266141111057168
67274,0.1649657171836682
188876,0.34489897513432655
32004,0.47004705164487864
18305,0.45496393735783236
54468,0.45874520428295285
54469,0.4592690813926916
38647,0.460439507361446
16871,0.4579017761006131
38020,0.4054334332469761
67304,0.38170342614283465
62620,0.3789739366182232
180969,0.3493501535753044
188946,0.3320656521042887
188947,0.4007465181599918
3645,0.3366602538641747
8044,0.36697828682765243
33099,0.3489171585092992
27691,0.36273224300690965
23150,0.3352441323780987
4114,0.3791215581993745
98626,0.40258086493080625
17510,0.3711383539565511
29122,0.41790427267262786
13449,0.36595741238102886
98627,0.37087092282780765
8153,0.19917753290919726
43686,0.1951849075909415
14326,0.2061566271706722
97371,0.20708953119634899
3386,0.23949664046401895
33459,0.32090535501468215
112125,0.352283358262209
44019,0.3609183768227385
131082,0.3663399241139457
117993,0.28682045365329184
109848,0.36483623870971543
112122,0.3159806045338672
81696,0.47119242511594595
19027,0.4411832304737541
19646,0.44321383227596794
63339,0.43565808074017265
16081,0.43729934259566017
23228,0.28365619376359963
112957,0.29720028059925074
32511,0.3041971435313085
17409,0.3277851593401866
48784,0.2840939648213427
21775,0.25850526393053297
131910,0.42781761992275374
131911,0.43042550363307974
147450,0.40825775090175626
131909,0.4237006862492739
171798,0.42635269693954003
149723,0.4364671859869352
104484,0.29027525389722864
46873,0.3017624930492473
93430,0.3545911654109869
97261,0.32371069531952185
79295,0.2993818285542658
145556,0.33084430681852167
54696,0.4651595791062087
75042,0.4194308700649662
24685,0.41317287639785455
3058,0.387400076675926
19407,0.3460723130888514
161466,0.3322938777099819
188593,0.3259831811583401
188892,0.34560796638630864
188893,0.34728409433060686
188894,0.4268648550894803
188895,0.4268648550894803
3239,0.3417639620649664
